Episode,Time (seconds)
0,12.773164510726929
1,16.547199010849
2,25.200908422470093
3,27.926650047302246
4,29.532281637191772
5,43.750264167785645
6,46.29364562034607
7,49.40934705734253
8,61.75754499435425
9,78.7346248626709
10,82.57255387306213
11,86.73158979415894
12,91.00002384185791
13,96.10694670677185
14,99.00724482536316
15,100.95888948440552
16,102.3958945274353
17,110.5809588432312
18,113.74974131584167
19,119.60238981246948
20,121.24579644203186
21,127.48510122299194
22,130.5304765701294
23,138.0841588973999
24,141.33250617980957
25,145.6894335746765
26,148.56460738182068
27,155.55907034873962
28,159.42260360717773
29,162.5744924545288
30,167.973886013031
31,171.30737972259521
32,173.1476857662201
33,175.3042004108429
34,177.75257635116577
35,185.43874192237854
36,199.5213840007782
37,202.025066614151
38,203.97741150856018
39,210.24269771575928
40,218.56173849105835
41,232.93230962753296
42,234.80846619606018
43,238.30297470092773
44,239.99498176574707
45,241.89020419120789
46,244.4491446018219
47,250.89415788650513
48,253.00787234306335
49,256.16025376319885
50,259.77796959877014
51,266.8445408344269
52,281.0437819957733
53,283.56172704696655
54,286.42987394332886
55,303.177453994751
56,305.3568048477173
57,308.08156657218933
58,311.10061407089233
59,313.48505783081055
60,325.0452995300293
61,327.46053671836853
62,333.67247009277344
63,352.6147644519806
64,354.66184854507446
65,363.6619396209717
66,365.76828241348267
67,374.1211357116699
68,377.307785987854
69,379.40221977233887
70,381.056298494339
71,383.0066740512848
72,384.672381401062
73,390.7383236885071
74,394.4017062187195
75,399.42756271362305
76,401.2458908557892
77,406.4747347831726
78,421.4533762931824
79,423.13876271247864
80,425.604145526886
81,430.295068025589
82,433.70206117630005
83,437.8685004711151
84,461.1493089199066
85,463.0900890827179
86,471.37555956840515
87,474.6022861003876
88,477.82083439826965
89,481.67695689201355
90,486.9005663394928
91,495.2205286026001
92,503.2046551704407
93,509.1419758796692
94,510.95145988464355
95,517.0096962451935
96,522.9843652248383
97,532.4013996124268
98,536.9330196380615
99,551.7579531669617
100,555.0258657932281
101,561.3898844718933
102,565.6932551860809
103,568.5475068092346
104,578.8630864620209
105,587.283843755722
106,594.6247792243958
107,598.0844693183899
108,609.809454202652
109,614.80322432518
110,619.1434049606323
111,622.3756647109985
112,629.6267399787903
113,648.2352285385132
114,652.1247773170471
115,655.4776663780212
116,657.269270658493
117,660.5298130512238
118,661.9921464920044
119,671.3738670349121
