Episode,Time (seconds)
0,8.725834846496582
1,11.420660734176636
2,21.195944786071777
3,25.294495105743408
4,30.55862307548523
5,35.77754855155945
6,43.92558789253235
7,48.72443222999573
8,54.892993688583374
9,78.98734045028687
10,82.15839743614197
11,106.60039496421814
12,115.85028839111328
13,124.94048500061035
14,128.8947253227234
15,138.85506391525269
16,143.58358931541443
17,166.10667634010315
18,170.52578806877136
19,176.39769411087036
20,192.81549382209778
21,195.90851736068726
22,200.30785393714905
23,204.23870277404785
24,222.26398015022278
25,240.39563632011414
26,274.96048951148987
27,289.48110246658325
28,297.15677523612976
29,325.1895899772644
30,328.2505717277527
31,332.8126995563507
32,338.6991627216339
33,342.412296295166
34,351.1224796772003
35,358.5421893596649
36,370.548789024353
37,384.14143538475037
38,386.35363364219666
39,391.01517629623413
40,400.7540452480316
41,413.9799304008484
42,418.13446712493896
43,419.92798113822937
44,423.6956284046173
45,473.79359316825867
46,477.22274374961853
47,480.5569951534271
48,486.0089662075043
49,489.61410880088806
50,502.89995670318604
51,516.9246287345886
52,531.0470640659332
53,536.7573800086975
54,540.452579498291
55,544.8728609085083
56,554.8998258113861
57,560.407719373703
58,565.3855700492859
59,568.945517539978
60,578.0888783931732
61,584.3694376945496
62,626.141444683075
63,629.1560006141663
64,645.6239168643951
65,676.8168785572052
66,691.0170948505402
67,712.4367423057556
68,716.3326172828674
69,718.6482193470001
70,730.6358623504639
71,734.2568273544312
72,736.9797747135162
73,756.6709740161896
74,759.6896755695343
75,763.5950071811676
76,768.0598180294037
77,775.4451138973236
78,799.869220495224
79,803.6739568710327
80,840.4023349285126
81,854.45760679245
82,869.3650412559509
83,871.9658136367798
84,878.9268872737885
85,885.8122124671936
86,897.7229812145233
87,900.3600099086761
88,902.8086261749268
89,910.219322681427
90,918.417275428772
91,921.1531949043274
92,929.3621430397034
93,934.623058795929
94,937.6042997837067
95,942.1204051971436
96,946.8164165019989
97,951.0079720020294
98,954.8476922512054
99,969.6402604579926
100,975.9203186035156
101,979.3081512451172
102,983.302933216095
103,994.341737985611
104,998.2526829242706
105,1006.0113878250122
106,1009.6029469966888
107,1027.6818206310272
108,1033.8253321647644
109,1037.960191488266
110,1076.4793787002563
111,1079.228938817978
112,1083.439252614975
113,1103.2405908107758
114,1130.3808438777924
115,1147.100252866745
116,1152.5125291347504
117,1167.9356725215912
118,1194.0407078266144
119,1206.5953571796417
120,1208.5281279087067
121,1215.5352969169617
122,1217.336526632309
123,1219.844122171402
124,1222.1779403686523
125,1225.9509670734406
126,1231.8451311588287
127,1235.4612941741943
128,1248.5419056415558
129,1256.6128532886505
130,1258.390792131424
131,1277.5317602157593
132,1291.369090795517
133,1307.275314092636
134,1310.4433281421661
135,1320.2755103111267
136,1329.4334897994995
137,1332.3528599739075
138,1340.6644079685211
139,1354.1724078655243
140,1357.4762043952942
141,1361.9831619262695
142,1368.2843503952026
143,1373.4311208724976
144,1379.8058915138245
145,1390.137849330902
146,1392.7755630016327
147,1394.232229232788
148,1397.4632425308228
149,1399.5728569030762
150,1401.7483389377594
151,1404.5387241840363
152,1414.6025750637054
153,1420.5579080581665
154,1422.7090978622437
155,1425.5628552436829
156,1434.4786727428436
157,1436.9994027614594
158,1438.7230184078217
159,1441.8108277320862
160,1443.1187963485718
161,1445.9744794368744
162,1449.2633066177368
163,1451.5855581760406
164,1480.7374806404114
165,1486.5550980567932
166,1488.0704445838928
167,1491.1917951107025
168,1493.729816198349
169,1496.1054005622864
170,1501.2710449695587
171,1505.636212348938
172,1522.1359839439392
173,1526.7378630638123
174,1536.4048700332642
175,1539.914076089859
176,1547.4105641841888
177,1552.734341621399
178,1558.550636768341
179,1561.5017623901367
180,1563.2029597759247
181,1568.7588579654694
182,1572.9696621894836
183,1584.8554887771606
184,1607.6293940544128
185,1635.2084424495697
186,1637.7326052188873
187,1655.743890285492
188,1661.39284658432
189,1675.8755807876587
190,1681.556855916977
191,1685.0760707855225
192,1689.5373311042786
193,1692.5342614650726
194,1742.3194727897644
195,1775.2435388565063
196,1778.6121599674225
197,1783.3254368305206
198,1789.6231694221497
199,1793.0311386585236
200,1796.246896982193
201,1808.2948741912842
202,1816.9134016036987
203,1820.1372208595276
204,1823.090138912201
205,1830.4038379192352
206,1833.4329242706299
207,1844.4263091087341
208,1852.2178838253021
209,1880.5107471942902
210,1916.0774343013763
211,1936.3334894180298
212,1941.5835399627686
213,1953.4240791797638
214,1957.5716302394867
215,1962.6583817005157
216,1996.7930686473846
217,2002.3670890331268
218,2039.2311913967133
219,2042.1850354671478
220,2048.305368423462
221,2049.8544771671295
222,2059.539474248886
223,2061.30309343338
224,2069.539970397949
225,2076.392893075943
226,2078.300397634506
227,2081.12069272995
228,2089.1715545654297
229,2092.655141353607
230,2094.5416355133057
231,2101.678970336914
232,2104.4197914600372
233,2106.4923210144043
234,2108.192962884903
235,2110.133724927902
236,2113.194309234619
237,2116.424225091934
238,2120.7631826400757
239,2122.3504531383514
240,2124.5893688201904
241,2127.614327430725
242,2131.111334323883
243,2140.914645433426
244,2143.2801847457886
245,2146.701235771179
246,2156.123779296875
247,2163.736325740814
248,2168.5313246250153
249,2170.0707852840424
250,2172.1193537712097
251,2175.1778190135956
252,2186.746072292328
253,2189.486419916153
254,2191.3767216205597
255,2194.3321726322174
256,2204.120384454727
257,2212.6903071403503
258,2223.357194662094
259,2226.4594044685364
260,2234.45144367218
261,2237.262141227722
262,2258.292842388153
263,2278.690250635147
264,2297.3155891895294
265,2317.9385039806366
266,2320.7582449913025
267,2325.955240249634
268,2330.312564611435
269,2333.8774502277374
270,2341.367737531662
271,2360.3247215747833
272,2364.426612854004
273,2381.1663386821747
274,2403.0039875507355
275,2425.122050046921
276,2429.641052722931
277,2435.518762111664
278,2444.227403640747
279,2448.923439979553
280,2459.6145870685577
281,2477.0190641880035
282,2483.48770070076
283,2490.4999084472656
284,2494.8201282024384
285,2498.1422703266144
286,2517.6985363960266
287,2552.5247287750244
288,2556.742865085602
289,2560.2588081359863
290,2593.9405555725098
291,2599.4104380607605
292,2607.79435133934
293,2613.5853633880615
294,2630.025703430176
295,2640.5736463069916
296,2643.8316271305084
297,2654.70187997818
298,2682.253895998001
299,2685.04754781723
300,2706.296723842621
301,2712.499075651169
302,2723.0849466323853
303,2728.8449449539185
304,2759.6958832740784
305,2763.1066443920135
306,2767.9891743659973
307,2777.737514734268
308,2785.811686038971
309,2793.43803858757
310,2811.9281306266785
311,2849.4313263893127
312,2868.9494473934174
313,2896.840388059616
314,2904.8612036705017
315,2916.4404265880585
316,2920.896097421646
317,2929.012076854706
318,2932.7690663337708
319,2935.3821971416473
320,2950.2376844882965
321,2965.6421418190002
322,2969.921933412552
323,2973.386384487152
324,2978.200663328171
325,3008.1612231731415
326,3044.0386595726013
327,3049.7694687843323
328,3056.3479182720184
329,3075.065579891205
330,3080.141905784607
331,3097.590067386627
332,3103.705172777176
333,3134.714562177658
334,3162.9701056480408
335,3167.714563846588
336,3173.5280373096466
337,3177.464444875717
338,3180.6318795681
339,3181.016324520111
340,3181.0471308231354
341,3181.080222129822
342,3181.1108288764954
343,3181.1757111549377
344,3181.224829673767
345,3181.254022836685
346,3181.289803504944
347,3181.318818807602
348,3181.426265001297
349,3181.455904006958
350,3181.48472738266
351,3181.546375989914
352,3181.5792846679688
353,3181.608867406845
354,3181.6677000522614
355,3181.70591545105
356,3181.734696626663
357,3181.7960953712463
358,3181.824925661087
359,3181.8559770584106
360,3181.885978460312
361,3181.923180580139
362,3181.956022977829
363,3181.9891378879547
364,3182.0179290771484
365,3182.0855424404144
366,3182.1568324565887
367,3182.2092247009277
368,3182.269891500473
369,3182.3508706092834
370,3182.381697177887
371,3182.4302129745483
372,3182.4942815303802
373,3182.5487859249115
374,3182.6044552326202
375,3182.6418402194977
376,3182.7124438285828
377,3182.7623059749603
378,3182.8295137882233
379,3182.861701488495
380,3182.9200253486633
381,3182.9781472682953
382,3183.0083117485046
383,3183.0500071048737
384,3183.1228456497192
385,3183.1519968509674
386,3183.323763370514
387,3183.3623077869415
388,3183.420910835266
389,3183.492842912674
390,3183.522086620331
391,3183.5927896499634
392,3183.621624469757
393,3183.65016579628
394,3183.682612657547
395,3183.8200104236603
396,3183.8564898967743
397,3183.8855912685394
398,3183.9681429862976
399,3184.036931991577
400,3184.070121049881
401,3184.1030473709106
402,3184.1361112594604
403,3184.203810930252
404,3184.267249584198
405,3184.3049721717834
406,3184.352548599243
407,3184.410718202591
408,3184.527389526367
409,3184.558352470398
410,3184.591532230377
411,3184.6546075344086
412,3184.727422475815
413,3184.7578415870667
414,3184.801831007004
415,3184.865826368332
416,3185.001233100891
417,3185.0697371959686
418,3185.1314885616302
419,3185.1604180336
420,3185.1960968971252
421,3185.226684331894
422,3185.2890508174896
423,3185.3645634651184
424,3185.3952124118805
425,3185.451007604599
426,3185.511848926544
427,3185.5437626838684
428,3185.5929176807404
429,3185.658758878708
430,3185.689343214035
431,3185.7226598262787
432,3185.755381345749
433,3185.783707141876
434,3185.8862431049347
435,3185.9502754211426
436,3185.9814212322235
437,3186.0920391082764
438,3186.1625752449036
439,3186.1922883987427
440,3186.2225947380066
441,3186.2890627384186
442,3186.3341681957245
443,3186.38910984993
444,3186.430301427841
445,3186.4743206501007
446,3186.5878562927246
447,3186.662533044815
448,3186.693678855896
449,3186.7250430583954
450,3186.7584393024445
451,3186.787019252777
452,3186.8263630867004
453,3186.863781452179
454,3186.8942568302155
455,3186.9230575561523
456,3186.963557243347
457,3186.9939510822296
458,3187.0313391685486
459,3187.156846523285
460,3187.2051804065704
461,3187.2383513450623
462,3187.298220872879
463,3187.3275713920593
464,3187.3724579811096
465,3187.4602761268616
466,3187.591539621353
467,3187.620781183243
468,3187.658847093582
469,3187.7032499313354
470,3187.743864774704
471,3187.7787005901337
472,3187.8289568424225
473,3187.8587391376495
474,3187.8856382369995
475,3187.912961959839
476,3187.956874370575
477,3187.9960222244263
478,3188.0832390785217
479,3188.1266651153564
480,3188.1619639396667
481,3188.2217967510223
482,3188.2691400051117
483,3188.3278591632843
484,3188.4119539260864
485,3188.4562697410583
486,3188.5617804527283
487,3188.6033430099487
488,3188.7368397712708
489,3188.808574438095
490,3188.8690028190613
491,3188.9064745903015
492,3188.957373857498
493,3189.0001084804535
494,3189.0925166606903
495,3189.168585538864
496,3189.212432861328
497,3189.327705860138
498,3189.384448289871
499,3189.415518283844
500,3189.4582908153534
501,3189.4937028884888
502,3189.5556643009186
503,3189.6072928905487
504,3189.6850843429565
505,3189.7132551670074
506,3189.7729544639587
507,3189.813614845276
508,3189.857866048813
509,3189.9388749599457
510,3189.98100066185
511,3190.0158429145813
512,3190.0468616485596
513,3190.0908377170563
514,3190.133198261261
515,3190.2062282562256
516,3190.266926050186
517,3190.3293220996857
518,3190.3648552894592
519,3190.4295856952667
520,3190.556755065918
521,3190.637474298477
522,3190.682154893875
523,3190.7325859069824
524,3190.7617797851562
525,3190.819855451584
526,3190.848825931549
527,3190.9206960201263
528,3190.980983734131
529,3191.04768037796
530,3191.0813064575195
531,3191.110176563263
532,3191.1385238170624
533,3191.182225227356
534,3191.2123606204987
535,3191.2783393859863
536,3191.3209767341614
537,3191.3970963954926
538,3191.4426629543304
539,3191.5092585086823
540,3191.562458753586
541,3191.603910923004
542,3191.6337707042694
543,3191.662427186966
544,3191.6917638778687
545,3191.744334936142
546,3191.773855447769
547,3191.8064193725586
548,3191.8732686042786
549,3191.9058389663696
550,3191.9542360305786
551,3192.0310554504395
552,3192.060063123703
553,3192.08935546875
554,3192.149386405945
555,3192.1793570518494
556,3192.2080178260803
557,3192.2404849529266
558,3192.2689514160156
559,3192.401831626892
560,3192.4321575164795
561,3192.461006164551
562,3192.498383998871
563,3192.5272784233093
564,3192.5681445598602
565,3192.5963661670685
566,3192.707229614258
567,3192.7401168346405
568,3192.7740182876587
569,3192.8065440654755
570,3192.8399243354797
571,3192.8723995685577
572,3192.904592514038
573,3193.1062202453613
574,3193.1393580436707
575,3193.1799569129944
576,3193.211517095566
577,3193.281403541565
578,3193.325182914734
579,3193.403077840805
580,3193.5251286029816
581,3193.622231721878
582,3193.656347513199
583,3193.689243555069
584,3193.7809710502625
585,3193.847538471222
586,3193.8764414787292
587,3193.943697452545
588,3193.9997589588165
589,3194.0569257736206
590,3194.110189676285
591,3194.1404378414154
592,3194.1704494953156
593,3194.200003385544
594,3194.23255777359
595,3194.273428916931
596,3194.3159806728363
597,3194.367569208145
598,3194.45552611351
599,3194.5583941936493
600,3194.594964027405
