Episode,Time (seconds)
0,9.307265043258667
1,11.246715784072876
2,32.08929777145386
3,36.524025440216064
4,40.55995440483093
5,46.336092472076416
6,65.20045733451843
7,70.26254487037659
8,86.96118998527527
9,91.17211270332336
10,105.03116846084595
11,119.92763924598694
12,127.98924016952515
13,134.29122257232666
14,144.7585690021515
15,151.6942367553711
16,154.7736155986786
17,164.90706539154053
18,171.0201404094696
19,182.92621040344238
20,215.33801889419556
21,219.76075148582458
22,224.4644136428833
23,234.37880682945251
24,238.4058620929718
25,243.51772737503052
26,248.29005789756775
27,256.88526344299316
28,262.2610628604889
29,273.19613003730774
30,302.717408657074
31,307.46708941459656
32,319.30031871795654
33,323.62806510925293
34,355.7910497188568
35,372.1337802410126
36,375.8640329837799
37,380.76949667930603
38,386.8855414390564
39,391.90600085258484
40,410.9848277568817
41,431.6659960746765
42,443.5101420879364
43,484.0245199203491
44,487.24530148506165
45,497.4319920539856
46,500.50893115997314
47,506.35422348976135
48,516.9518237113953
49,520.0958275794983
50,524.2539927959442
51,536.5682492256165
52,539.8012504577637
53,561.2429485321045
54,571.7838315963745
55,574.9305593967438
56,585.6406140327454
57,589.9749944210052
58,593.0416550636292
59,596.0563545227051
60,607.9569203853607
61,629.7522971630096
62,637.0992951393127
63,641.7304372787476
64,647.569349527359
65,654.6715171337128
66,673.273003578186
67,676.6955678462982
68,696.6997020244598
69,699.6091685295105
70,702.3553376197815
71,708.564343214035
72,719.3106694221497
73,723.6159517765045
74,726.686516046524
75,729.0394535064697
76,737.0325133800507
77,739.3213846683502
78,761.1186761856079
79,777.3285238742828
80,782.3677830696106
81,812.6691298484802
82,817.1500713825226
83,847.8576016426086
84,853.6259140968323
85,857.759495973587
86,860.5430233478546
87,863.7432117462158
88,888.5214083194733
89,895.660352230072
90,904.335834980011
91,910.8163921833038
92,917.9363389015198
93,934.5152945518494
94,961.753867149353
95,965.0863273143768
96,966.8797647953033
97,971.2035748958588
98,973.7743690013885
99,976.126047372818
100,989.3254809379578
101,996.6796226501465
102,1010.3977861404419
103,1012.8600251674652
104,1018.6468987464905
105,1023.0155384540558
106,1027.4733037948608
107,1044.7293932437897
108,1075.5772097110748
109,1080.501940727234
110,1083.7568776607513
111,1092.0436806678772
112,1097.3029882907867
113,1100.6429224014282
114,1107.5971519947052
115,1135.7359764575958
116,1138.4038648605347
117,1141.549441576004
118,1150.4832780361176
119,1155.44349360466
120,1159.0263285636902
121,1161.559033870697
122,1171.7731518745422
123,1175.1515510082245
124,1177.739380121231
125,1187.2669599056244
126,1204.8081958293915
127,1206.7763323783875
128,1209.7463624477386
129,1214.1925160884857
130,1216.2976009845734
131,1218.2248122692108
132,1220.6652562618256
133,1223.7676136493683
134,1225.565499305725
135,1227.619215965271
136,1235.6642413139343
137,1239.02197265625
138,1241.0015687942505
139,1256.9821894168854
140,1258.6717977523804
141,1264.9930205345154
142,1266.803335428238
143,1268.5574564933777
144,1273.5958755016327
145,1276.3389642238617
146,1277.9831445217133
147,1285.1138279438019
148,1290.427546262741
149,1292.5580892562866
150,1295.4582042694092
151,1297.2764406204224
152,1303.7072422504425
153,1307.2448024749756
154,1314.9287610054016
155,1317.486380815506
156,1346.8789808750153
157,1349.4841630458832
158,1364.1691551208496
159,1367.8154940605164
160,1373.0754721164703
161,1380.4573950767517
162,1385.5326249599457
163,1391.5905058383942
164,1402.0871138572693
165,1406.1272892951965
166,1412.5154674053192
167,1417.3623712062836
168,1418.9179825782776
169,1420.5242931842804
170,1428.0332639217377
171,1450.673897743225
172,1460.7415087223053
173,1483.0629041194916
174,1514.9334812164307
175,1518.8214020729065
176,1529.7355709075928
177,1540.4751830101013
178,1565.4422447681427
179,1588.0638139247894
180,1590.803104877472
181,1597.0082988739014
182,1601.3085179328918
183,1606.906017780304
184,1651.3977446556091
185,1654.3639647960663
186,1663.6612322330475
187,1674.5927135944366
188,1681.3371551036835
189,1697.441358089447
190,1718.0463490486145
191,1743.0282740592957
192,1754.193793296814
193,1759.5382850170135
194,1763.749652147293
195,1766.4210863113403
196,1769.5980401039124
197,1775.3880543708801
198,1788.3943312168121
199,1802.8508381843567
200,1822.239089012146
201,1825.460086107254
202,1829.8332283496857
203,1839.3229053020477
204,1863.5025763511658
205,1866.9637122154236
206,1872.446934223175
207,1890.2944445610046
208,1929.2638335227966
209,1950.5909638404846
210,1962.4454882144928
211,1967.452906370163
212,1969.7710402011871
213,1971.1947314739227
214,1977.2936832904816
215,2004.1233932971954
216,2007.453763961792
217,2010.0736804008484
218,2031.530415058136
219,2060.9691395759583
220,2071.828306913376
221,2080.1049284934998
222,2087.0943882465363
223,2106.979182243347
224,2116.2377297878265
225,2131.6805555820465
226,2161.868401288986
227,2168.7158963680267
228,2187.263893842697
229,2190.5786986351013
230,2194.0257608890533
231,2197.8903908729553
232,2205.757052898407
233,2231.1693785190582
234,2237.9887597560883
235,2248.1170432567596
236,2256.540952682495
237,2261.667783975601
238,2289.7291922569275
239,2309.753963470459
240,2327.597671031952
241,2330.4036898612976
242,2341.9763131141663
243,2367.4141070842743
244,2373.714749097824
245,2377.740683078766
246,2383.5075142383575
247,2397.270542383194
248,2405.569990873337
249,2415.6305396556854
250,2436.6675856113434
251,2441.9452018737793
252,2444.833220720291
253,2447.8140063285828
254,2460.937406539917
255,2466.4952890872955
256,2484.819730758667
257,2489.2288382053375
258,2491.5298845767975
259,2500.856859922409
260,2505.8507137298584
261,2523.4111952781677
262,2525.9938337802887
263,2536.0079367160797
264,2563.5875160694122
265,2567.3853228092194
266,2570.06117105484
267,2595.6196024417877
268,2603.705381631851
269,2606.962870359421
270,2612.0656831264496
271,2617.9994254112244
272,2631.0376167297363
273,2635.405334711075
274,2650.6131434440613
275,2654.5099325180054
276,2665.7178914546967
277,2711.4383869171143
278,2720.5550639629364
279,2732.0149211883545
280,2737.083831548691
281,2744.4360291957855
282,2753.1342992782593
283,2793.4471819400787
284,2822.5930552482605
285,2842.7602903842926
286,2860.5803208351135
287,2875.225729227066
288,2881.27561211586
289,2887.459353685379
290,2890.576333284378
291,2903.637209415436
292,2906.520267009735
293,2928.7669866085052
294,2958.894989013672
295,2965.296751022339
296,2993.5930535793304
297,2998.8982393741608
298,3003.1861062049866
299,3018.3164432048798
300,3031.571406841278
301,3036.0186145305634
302,3042.3347778320312
303,3046.4258217811584
304,3056.4437251091003
305,3069.731553554535
306,3073.4799535274506
307,3091.6315693855286
308,3094.636290073395
309,3098.3690724372864
310,3108.7445063591003
311,3121.9244079589844
312,3126.224316596985
313,3174.966545820236
314,3177.559942483902
315,3192.6117651462555
316,3210.4800112247467
317,3232.0971496105194
318,3243.309657096863
319,3249.0465483665466
320,3282.461548089981
321,3286.744021654129
322,3293.970158815384
323,3299.8649830818176
324,3304.241484642029
325,3307.909742116928
326,3317.821130514145
327,3328.3584036827087
328,3332.335634469986
329,3336.2805240154266
330,3343.574610233307
331,3351.892792701721
332,3371.7110517024994
333,3375.659467935562
334,3381.534795999527
335,3384.5999166965485
336,3391.731551885605
337,3398.3588948249817
338,3403.397427558899
339,3416.197410106659
340,3460.200249671936
341,3500.721988916397
342,3505.7939496040344
343,3510.6100215911865
344,3515.073937177658
345,3547.0683600902557
346,3556.318133354187
347,3560.6003828048706
348,3565.498512506485
349,3587.4526195526123
350,3596.2053833007812
351,3600.858629465103
352,3605.691125869751
353,3618.4277069568634
354,3645.1005096435547
355,3673.2475442886353
356,3676.3116822242737
357,3679.5622611045837
358,3705.304883003235
359,3709.957683801651
360,3730.119398355484
361,3736.25506401062
362,3743.787593126297
363,3765.084326982498
364,3767.3615429401398
365,3771.488134622574
366,3787.9499230384827
367,3797.9276072978973
368,3806.945111989975
369,3820.0760736465454
370,3825.2732977867126
371,3829.5187060832977
372,3843.509029865265
373,3864.623238325119
374,3872.2282536029816
375,3880.801559448242
376,3918.835750579834
377,3921.847939491272
378,3924.7659833431244
379,3929.633196115494
380,3934.9349908828735
381,3949.2638103961945
382,3964.436314344406
383,3978.0047085285187
384,3994.492353439331
385,4016.153498649597
386,4023.82519865036
387,4026.9861719608307
388,4051.3650810718536
389,4054.468197107315
390,4057.883090734482
391,4066.8585636615753
392,4078.613085746765
393,4091.8811576366425
394,4101.9613654613495
395,4110.104541540146
396,4116.481988430023
397,4118.67484498024
398,4123.655222415924
399,4127.837717056274
400,4130.750661611557
401,4134.734558582306
402,4136.862087011337
403,4144.136556625366
404,4149.385379552841
405,4152.137508630753
406,4162.961307048798
407,4164.778844833374
408,4171.570451974869
409,4179.302077054977
410,4181.978735923767
411,4187.73117518425
412,4200.688852310181
413,4206.632974624634
414,4217.568883180618
415,4221.696948289871
416,4233.312509298325
417,4261.906021356583
418,4265.634878873825
419,4269.569945812225
420,4292.917461156845
421,4306.048978805542
422,4309.4792494773865
423,4322.020003795624
424,4338.0097324848175
425,4371.705569028854
426,4377.390299081802
427,4402.029200077057
428,4413.83985710144
429,4429.840871810913
430,4432.639090538025
431,4440.162509441376
432,4440.186985731125
433,4440.230673789978
434,4440.258267402649
435,4440.281735420227
436,4440.335311174393
437,4440.364719629288
438,4440.527285575867
439,4440.547549724579
440,4440.603111743927
441,4440.639309883118
442,4440.654988288879
443,4440.681755781174
444,4440.723239898682
445,4440.773758172989
446,4440.800214767456
447,4440.83326792717
448,4440.861139535904
449,4440.885586023331
450,4440.950045824051
451,4440.973573923111
452,4441.001410961151
453,4441.079931974411
454,4441.116762638092
455,4441.180418014526
456,4441.229150772095
457,4441.280012369156
458,4441.351252794266
459,4441.421608686447
460,4441.481374502182
461,4441.5224232673645
462,4441.550146341324
463,4441.655527591705
464,4441.726581811905
465,4441.793559074402
466,4441.815047979355
467,4441.838178873062
468,4441.87050318718
469,4441.934315443039
470,4441.990889310837
471,4442.028316259384
472,4442.067778348923
473,4442.098095655441
474,4442.118762731552
475,4442.213304758072
476,4442.278463125229
477,4442.300313472748
478,4442.321505308151
479,4442.35914516449
480,4442.448189973831
481,4442.522655487061
482,4442.58819937706
483,4442.616268157959
484,4442.641846656799
485,4442.665983438492
486,4442.6900815963745
487,4442.814064025879
488,4442.853998184204
489,4442.9094252586365
490,4442.969971179962
491,4443.0394015312195
492,4443.069683790207
493,4443.119376182556
494,4443.170231103897
495,4443.212379693985
496,4443.261684179306
497,4443.281621932983
498,4443.330181837082
499,4443.350452661514
500,4443.453399896622
501,4443.506451368332
502,4443.533305644989
503,4443.600609779358
504,4443.624617099762
505,4443.655000448227
506,4443.708292007446
507,4443.744102716446
508,4443.768279314041
509,4443.790743589401
510,4443.814286231995
511,4443.855509996414
512,4443.90588927269
513,4443.921299695969
514,4443.955562591553
515,4443.971227884293
516,4443.988470077515
517,4444.014945745468
518,4444.05274605751
519,4444.113449335098
520,4444.167752981186
521,4444.210276842117
522,4444.263381719589
523,4444.295369386673
524,4444.323482036591
525,4444.377779006958
526,4444.461621999741
527,4444.505936384201
528,4444.532564401627
529,4444.578130483627
530,4444.59898686409
531,4444.619624614716
532,4444.644561052322
533,4444.680057525635
534,4444.719690799713
535,4444.817872285843
536,4444.836361646652
537,4444.880818843842
538,4444.906811237335
539,4444.936120271683
540,4444.953516244888
541,4444.970343589783
542,4445.014909029007
543,4445.044851303101
544,4445.074140071869
545,4445.091725349426
546,4445.13790845871
547,4445.177137374878
548,4445.205237627029
549,4445.225480794907
550,4445.243228197098
551,4445.290699958801
552,4445.310240507126
553,4445.341322898865
554,4445.361576318741
555,4445.379092693329
556,4445.4195828437805
557,4445.497999429703
558,4445.557070732117
559,4445.575480222702
560,4445.600659608841
561,4445.631827831268
562,4445.6849727630615
563,4445.72712635994
564,4445.75030708313
565,4445.781871795654
566,4445.830361127853
567,4445.938632488251
568,4445.981890678406
569,4446.006776094437
570,4446.036114692688
571,4446.057909965515
572,4446.102210283279
573,4446.130009889603
574,4446.170890569687
575,4446.197757720947
576,4446.212695360184
577,4446.285877466202
578,4446.302596569061
579,4446.351697683334
580,4446.385384082794
