Episode,Average Reward
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,35.5087619047619
101,35.6067619047619
102,35.50719047619047
103,35.475380952380945
104,35.616095238095234
105,35.52909523809523
106,35.946571428571424
107,35.997476190476185
108,35.96723809523809
109,37.1015238095238
110,37.45004761904761
111,37.606666666666655
112,37.36704761904761
113,37.48371428571428
114,37.53290476190475
115,37.49242857142856
116,37.59947619047618
117,36.80047619047618
118,37.5277619047619
119,37.48685714285714
120,37.46261904761904
121,36.54590476190476
122,37.06680952380952
123,36.72042857142856
124,36.28423809523809
125,36.07214285714285
126,36.018666666666654
127,35.931238095238086
128,35.59619047619047
129,34.86719047619047
130,36.21590476190475
131,36.75571428571428
132,36.73819047619047
133,37.54395238095236
134,36.678999999999995
135,36.397857142857134
136,35.8747619047619
137,35.56185714285713
138,35.51590476190475
139,35.469380952380945
140,36.23966666666666
141,36.481095238095236
142,36.791666666666664
143,36.494190476190475
144,36.98461904761904
145,35.91942857142857
146,35.359666666666655
147,35.0380476190476
148,35.142666666666656
149,36.22471428571428
150,36.94033333333332
151,36.95438095238094
152,37.291095238095224
153,37.15809523809523
154,36.56538095238094
155,37.00899999999999
156,36.0035238095238
157,35.83466666666666
158,35.94266666666666
159,36.25266666666666
160,36.13614285714285
161,35.2575238095238
162,36.0877619047619
163,36.1015238095238
164,37.30709523809523
165,37.44966666666666
166,37.38414285714285
167,37.756857142857136
168,37.61395238095237
169,37.565904761904754
170,37.093190476190465
171,36.838047619047614
