Episode,Average Paddle Hits
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0.38
101,0.41
102,0.4
103,0.38
104,0.38
105,0.38
106,0.4
107,0.39
108,0.39
109,0.39
110,0.38
111,0.37
112,0.36
113,0.36
114,0.36
115,0.36
116,0.37
117,0.37
118,0.37
119,0.39
120,0.39
121,0.39
122,0.39
123,0.39
124,0.39
125,0.39
126,0.38
127,0.38
128,0.38
129,0.38
130,0.39
131,0.39
132,0.39
133,0.41
134,0.41
135,0.4
136,0.4
137,0.41
138,0.42
139,0.42
140,0.43
141,0.43
142,0.42
143,0.41
144,0.4
145,0.39
146,0.39
147,0.43
148,0.41
149,0.41
150,0.4
151,0.41
152,0.41
153,0.41
154,0.41
155,0.41
156,0.44
157,0.43
158,0.45
159,0.45
160,0.46
161,0.46
162,0.49
163,0.51
164,0.51
165,0.51
166,0.51
167,0.49
168,0.49
169,0.49
170,0.49
171,0.5
172,0.5
173,0.49
174,0.47
175,0.46
176,0.47
177,0.48
178,0.49
179,0.49
180,0.49
181,0.5
182,0.5
183,0.51
184,0.51
185,0.52
186,0.51
187,0.51
188,0.53
189,0.54
190,0.56
191,0.55
192,0.55
193,0.54
194,0.53
195,0.51
196,0.51
197,0.51
198,0.5
199,0.52
200,0.52
201,0.49
202,0.49
203,0.49
204,0.5
205,0.5
206,0.49
207,0.5
208,0.54
209,0.54
210,0.54
211,0.55
212,0.56
213,0.56
214,0.56
215,0.56
216,0.55
217,0.55
218,0.57
