Episode,Time (seconds)
0,1.6768851280212402
1,8.995335817337036
2,10.145772695541382
3,17.478452444076538
4,18.556246042251587
5,19.682912349700928
6,20.87298321723938
7,29.87327527999878
8,31.456352472305298
9,33.44635772705078
10,35.50983786582947
11,45.446638107299805
12,47.391953229904175
13,49.43695592880249
14,50.54456949234009
15,52.026270627975464
16,54.041187047958374
17,61.40111017227173
18,65.92560052871704
19,67.3927104473114
20,68.91003513336182
21,70.03165864944458
22,71.48534607887268
23,76.41250848770142
24,81.2088074684143
25,82.34938883781433
26,83.39427709579468
27,87.67431855201721
28,88.81854629516602
29,92.91997241973877
30,97.9145085811615
31,99.3242564201355
32,103.98977708816528
33,111.8647575378418
34,120.5880229473114
35,122.09829378128052
36,123.62997031211853
37,125.67577123641968
38,129.40298438072205
39,130.6044487953186
40,131.7122766971588
41,136.0002429485321
42,137.0811288356781
43,141.177818775177
44,142.29260563850403
45,143.81913542747498
46,144.90983891487122
47,150.02193593978882
48,151.1800675392151
49,158.48209524154663
50,160.60373401641846
51,162.17523550987244
52,167.62427592277527
53,168.77092480659485
54,173.5116832256317
55,175.5356822013855
56,177.09734272956848
57,178.2206723690033
58,185.71971487998962
59,186.73314118385315
60,187.7662787437439
61,189.18996834754944
62,190.28275990486145
63,191.4202847480774
64,192.93438577651978
65,194.447509765625
66,197.93632912635803
67,199.3931713104248
68,203.12070870399475
69,204.60114669799805
70,205.7727324962616
71,206.87303972244263
72,210.64520621299744
73,211.74153757095337
74,213.3626844882965
75,215.24774169921875
76,216.73698806762695
77,218.3273582458496
78,223.60681796073914
79,237.59496974945068
80,239.5922338962555
81,241.11699652671814
82,250.60392475128174
83,251.9894151687622
84,253.20150518417358
85,255.21898746490479
86,270.03814792633057
87,271.6644673347473
88,272.8989522457123
89,274.93700337409973
90,278.54072642326355
91,282.4473979473114
92,283.60935497283936
93,288.4610321521759
94,294.1199779510498
95,296.11498737335205
96,301.4584846496582
97,303.40030097961426
98,304.55609822273254
99,305.5976915359497
100,310.75313901901245
101,312.71124935150146
102,318.26645970344543
103,319.85705399513245
104,325.1889865398407
105,326.33000349998474
106,327.7742540836334
107,334.132141828537
108,335.96226596832275
109,340.6940703392029
110,341.84500455856323
111,343.87142300605774
112,344.92994141578674
113,346.8534004688263
114,348.8968048095703
115,350.47804021835327
116,351.54710364341736
117,352.69674611091614
118,354.264520406723
119,359.41141843795776
120,366.66740560531616
121,373.7041070461273
122,375.2261953353882
123,376.40514063835144
124,381.72033500671387
125,383.1861436367035
126,384.21712732315063
127,385.3362123966217
128,396.75270318984985
129,397.7911820411682
130,398.9259285926819
131,411.6457552909851
132,418.04860401153564
133,419.4698557853699
134,422.8744399547577
135,423.98501110076904
136,432.87795519828796
137,437.8184030056
